n,add,contains,remove,removeAll,retainAll,clear,size,addAll,clone
10,0.000012,0.000003,0.000006,0.000051,0.000010,0.000001,0.000000,0.000012,0.000012
20,0.000008,0.000007,0.000008,0.000029,0.000021,0.000000,0.000000,0.000009,0.000012
30,0.000018,0.000006,0.000013,0.000026,0.000025,0.000001,0.000000,0.000014,0.000021
40,0.000014,0.000006,0.000010,0.000036,0.000029,0.000001,0.000000,0.000027,0.000050
50,0.000018,0.000009,0.000013,0.000063,0.000046,0.000001,0.000000,0.000013,0.000019
60,0.000006,0.000007,0.000019,0.000065,0.000040,0.000001,0.000000,0.000013,0.000018
70,0.000008,0.000009,0.000016,0.000043,0.000037,0.000001,0.000000,0.000015,0.000012
80,0.000007,0.000010,0.000017,0.000049,0.000030,0.000001,0.000000,0.000017,0.000013
90,0.000008,0.000011,0.000010,0.000037,0.000029,0.000001,0.000000,0.000021,0.000019
100,0.000012,0.000019,0.000013,0.000049,0.000033,0.000003,0.000000,0.000023,0.000018
110,0.000008,0.000015,0.000013,0.000039,0.000029,0.000002,0.000000,0.000021,0.000019
120,0.000007,0.000012,0.000015,0.000043,0.000034,0.000002,0.000000,0.000021,0.000017
130,0.000020,0.000011,0.000013,0.000050,0.000039,0.000002,0.000000,0.000010,0.000016
140,0.000019,0.000005,0.000006,0.000057,0.000044,0.000003,0.000000,0.000012,0.000024
150,0.000009,0.000006,0.000007,0.000064,0.000049,0.000002,0.000000,0.000012,0.000017
160,0.000010,0.000006,0.000007,0.000072,0.000054,0.000002,0.000000,0.000012,0.000018
170,0.000010,0.000009,0.000008,0.000030,0.000018,0.000002,0.000000,0.000013,0.000023
180,0.000011,0.000007,0.000008,0.000023,0.000019,0.000003,0.000000,0.000013,0.000020
190,0.000011,0.000007,0.000008,0.000025,0.000020,0.000002,0.000000,0.000016,0.000020
200,0.000011,0.000011,0.000011,0.000027,0.000021,0.000004,0.000000,0.000015,0.000022
210,0.000011,0.000008,0.000009,0.000030,0.000024,0.000004,0.000000,0.000015,0.000022
220,0.000012,0.000008,0.000010,0.000030,0.000024,0.000004,0.000000,0.000015,0.000022
230,0.000012,0.000009,0.000010,0.000032,0.000028,0.000004,0.000000,0.000016,0.000023
240,0.000012,0.000009,0.000010,0.000034,0.000027,0.000004,0.000000,0.000016,0.000024
250,0.000013,0.000009,0.000016,0.000036,0.000028,0.000004,0.000000,0.000016,0.000026
260,0.000017,0.000009,0.000011,0.000038,0.000030,0.000004,0.000000,0.000016,0.000027
270,0.000015,0.000010,0.000012,0.000040,0.000031,0.000004,0.000000,0.000015,0.000028
280,0.000012,0.000010,0.000012,0.000043,0.000033,0.000004,0.000000,0.000016,0.000027
290,0.000012,0.000012,0.000013,0.000043,0.000035,0.000004,0.000000,0.000017,0.000028
300,0.000012,0.000013,0.000013,0.000047,0.000036,0.000004,0.000000,0.000017,0.000030
310,0.000013,0.000011,0.000013,0.000047,0.000037,0.000004,0.000000,0.000017,0.000031
320,0.000013,0.000012,0.000015,0.000053,0.000038,0.000004,0.000000,0.000018,0.000033
330,0.000013,0.000012,0.000015,0.000051,0.000039,0.000004,0.000000,0.000019,0.000032
340,0.000014,0.000014,0.000015,0.000052,0.000041,0.000004,0.000000,0.000019,0.000032
350,0.000014,0.000013,0.000016,0.000054,0.000042,0.000004,0.000000,0.000019,0.000032
360,0.000015,0.000014,0.000020,0.000057,0.000043,0.000004,0.000000,0.000020,0.000036
370,0.000014,0.000013,0.000013,0.000055,0.000044,0.000004,0.000000,0.000019,0.000035
380,0.000013,0.000014,0.000014,0.000058,0.000045,0.000004,0.000000,0.000019,0.000036
390,0.000014,0.000017,0.000015,0.000061,0.000047,0.000008,0.000000,0.000021,0.000036
400,0.000015,0.000015,0.000014,0.000067,0.000050,0.000008,0.000000,0.000021,0.000037
410,0.000015,0.000015,0.000015,0.000065,0.000052,0.000008,0.000000,0.000021,0.000037
420,0.000014,0.000015,0.000804,0.000087,0.000068,0.000017,0.000000,0.000037,0.000061
430,0.000012,0.000011,0.000011,0.000076,0.000059,0.000008,0.000000,0.000023,0.000041
440,0.000008,0.000013,0.000007,0.000078,0.000062,0.000008,0.000000,0.000022,0.000040
450,0.000008,0.000005,0.000009,0.000080,0.000063,0.000008,0.000000,0.000024,0.000042
460,0.000007,0.000004,0.000007,0.000083,0.000065,0.000007,0.000000,0.000024,0.000043
470,0.000007,0.000005,0.000007,0.000087,0.000067,0.000008,0.000000,0.000024,0.000043
480,0.000009,0.000006,0.000007,0.000087,0.000069,0.000008,0.000000,0.000024,0.000044
490,0.000009,0.000005,0.000012,0.000090,0.000072,0.000007,0.000000,0.000024,0.000045
500,0.000008,0.000006,0.000009,0.000093,0.000073,0.000007,0.000000,0.000026,0.000059
510,0.000009,0.000005,0.000008,0.000096,0.000077,0.000007,0.000000,0.000025,0.000045
520,0.000008,0.000006,0.000008,0.000099,0.000079,0.000007,0.000000,0.000025,0.000045
530,0.000008,0.000006,0.000008,0.000102,0.000077,0.000007,0.000000,0.000026,0.000044
540,0.000009,0.000005,0.000009,0.000102,0.000085,0.000007,0.000000,0.000026,0.000046
550,0.000010,0.000006,0.000015,0.000100,0.000079,0.000007,0.000000,0.000033,0.000049
560,0.000009,0.000005,0.000007,0.000126,0.000086,0.000007,0.000000,0.000025,0.000047
570,0.000010,0.000005,0.000007,0.000112,0.000088,0.000007,0.000000,0.000025,0.000048
580,0.000009,0.000005,0.000007,0.000114,0.000090,0.000007,0.000000,0.000027,0.000048
590,0.000013,0.000007,0.000006,0.000119,0.000093,0.000007,0.000000,0.000027,0.000050
600,0.000009,0.000006,0.000006,0.000121,0.000094,0.000007,0.000000,0.000027,0.000052
610,0.000011,0.000007,0.000006,0.000124,0.000098,0.000007,0.000000,0.000027,0.000051
620,0.000011,0.000008,0.000007,0.000129,0.000100,0.000007,0.000000,0.000028,0.000052
630,0.000010,0.000007,0.000006,0.000131,0.000118,0.000007,0.000000,0.000029,0.000055
640,0.000010,0.000007,0.000009,0.000140,0.000106,0.000010,0.000000,0.000035,0.000055
650,0.000010,0.000006,0.000007,0.000138,0.000109,0.000007,0.000000,0.000029,0.000053
660,0.000012,0.000007,0.000007,0.000142,0.000111,0.000007,0.000000,0.000029,0.000054
670,0.000012,0.000007,0.000008,0.000145,0.000124,0.000007,0.000000,0.000030,0.000062
680,0.000011,0.000007,0.000008,0.000150,0.000116,0.000007,0.000000,0.000030,0.000056
690,0.000011,0.000007,0.000007,0.000152,0.000120,0.000007,0.000000,0.000031,0.000058
700,0.000011,0.000007,0.000010,0.000159,0.000126,0.000007,0.000000,0.000031,0.000059
710,0.000011,0.000007,0.000008,0.000161,0.000126,0.000007,0.000000,0.000032,0.000058
720,0.000012,0.000008,0.000009,0.000165,0.000137,0.000007,0.000000,0.000032,0.000058
730,0.000012,0.000008,0.000008,0.000168,0.000130,0.000007,0.000000,0.000032,0.000059
740,0.000012,0.000012,0.000008,0.000173,0.000133,0.000007,0.000000,0.000033,0.000065
750,0.000011,0.000008,0.000008,0.000176,0.000137,0.000014,0.000000,0.000034,0.000064
760,0.000012,0.000007,0.000009,0.000187,0.000146,0.000007,0.000000,0.000035,0.000065
770,0.000015,0.000010,0.000009,0.000187,0.000145,0.000013,0.000000,0.000037,0.000067
780,0.000015,0.000008,0.000008,0.000200,0.000154,0.000008,0.000000,0.000038,0.000072
790,0.000014,0.000009,0.000009,0.000209,0.000164,0.000014,0.000000,0.000039,0.000073
800,0.000015,0.000009,0.000009,0.000198,0.000155,0.000001,0.000000,0.000037,0.000068
810,0.000014,0.000008,0.000008,0.000203,0.000158,0.000001,0.000000,0.000035,0.000074
820,0.000012,0.000008,0.000009,0.000207,0.000161,0.000001,0.000000,0.000036,0.000067
830,0.000012,0.000008,0.000009,0.000210,0.000165,0.000001,0.000000,0.000036,0.000067
840,0.000015,0.000008,0.000009,0.000215,0.000168,0.000001,0.000000,0.000036,0.000068
850,0.000013,0.000008,0.000009,0.000219,0.000171,0.000001,0.000000,0.000037,0.000082
860,0.000013,0.000009,0.000009,0.000225,0.000175,0.000001,0.000000,0.000037,0.000069
870,0.000012,0.000009,0.000009,0.000229,0.000178,0.000001,0.000000,0.000039,0.000079
880,0.000016,0.000009,0.000009,0.000233,0.000181,0.000001,0.000000,0.000039,0.000072
890,0.000016,0.000009,0.000009,0.000248,0.000189,0.000001,0.000000,0.000040,0.000072
900,0.000012,0.000009,0.000009,0.000243,0.000189,0.000001,0.000000,0.000038,0.000072
910,0.000013,0.000009,0.000009,0.000251,0.000201,0.000000,0.000000,0.000040,0.000074
920,0.000012,0.000009,0.000010,0.000254,0.000195,0.000001,0.000000,0.000040,0.000074
930,0.000015,0.000009,0.000010,0.000265,0.000199,0.000001,0.000000,0.000040,0.000075
940,0.000019,0.000010,0.000010,0.000268,0.000206,0.000001,0.000000,0.000045,0.000077
950,0.000015,0.000012,0.000010,0.000267,0.000209,0.000001,0.000000,0.000040,0.000077
960,0.000013,0.000009,0.000010,0.000289,0.000230,0.000001,0.000000,0.000045,0.000081
970,0.000014,0.000010,0.000010,0.000287,0.000222,0.000001,0.000000,0.000043,0.000081
980,0.000014,0.000010,0.000010,0.000296,0.000226,0.000001,0.000000,0.000043,0.000082
990,0.000014,0.000010,0.000011,0.000298,0.000231,0.000001,0.000000,0.000044,0.000085
1000,0.000019,0.000011,0.000012,0.000304,0.000235,0.000001,0.000000,0.000047,0.000060
